id,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards
1,53,66,1966,11,0,462 Rose Lane,34.15,-117.76,29278.0,59696.0,127613.0,787.0,5
2,53,68,1966,12,0,3606 Federal Boulevard,40.76,-73.74,37891.0,77254.0,191349.0,701.0,5
3,81,67,1938,11,0,766 Third Drive,34.02,-117.89,22681.0,33483.0,196.0,698.0,5
4,63,63,1957,1,0,3 Madison Street,40.71,-73.99,163145.0,249925.0,202328.0,722.0,4
5,43,70,1976,9,1,9620 Valley Stream Drive,37.76,-122.44,53797.0,109687.0,183855.0,675.0,1
6,42,70,1977,10,1,58 Birch Lane,41.55,-90.6,20599.0,41997.0,0.0,704.0,3
7,36,67,1983,12,0,5695 Fifth Street,38.22,-85.74,25258.0,51500.0,102286.0,672.0,3
8,26,67,1993,12,1,1941 Ninth Street,45.51,-122.64,26790.0,54623.0,114711.0,728.0,1
9,81,66,1938,7,0,11 Spruce Avenue,40.32,-75.32,26273.0,42509.0,2895.0,755.0,5
10,34,60,1986,1,0,887 Grant Street,29.97,-92.12,18730.0,38190.0,81262.0,810.0,1
11,27,66,1992,6,1,888 Fifth Lane,38.65,-121.25,27548.0,56164.0,15224.0,761.0,2
12,29,63,1990,9,0,8677 Littlewood Lane,40.42,-104.74,22427.0,45727.0,94016.0,629.0,1
13,18,67,2002,1,0,829 Fourth Boulevard,41.76,-71.48,33914.0,69149.0,89214.0,776.0,1
14,34,62,1985,10,1,74786 Jefferson Drive,44.75,-85.6,20325.0,41442.0,78833.0,712.0,3
15,48,62,1971,5,0,781 East Street,29.45,-98.5,10059.0,20513.0,32509.0,599.0,1
16,41,68,1978,4,0,40 Washington Drive,36.73,-102.51,11342.0,23123.0,5079.0,723.0,6
17,54,71,1966,1,1,3994 Hillside Drive,32.15,-94.79,17898.0,36497.0,38333.0,719.0,6
18,76,71,1943,8,0,172 Birch Street,35.29,-111.32,21950.0,27484.0,16803.0,660.0,4
19,22,68,1997,11,1,8145 Spruce Boulevard,35.19,-80.83,26481.0,53995.0,89056.0,683.0,3
20,66,68,1953,10,1,153 Tenth Lane,32.21,-110.88,17460.0,35602.0,55369.0,661.0,5
21,28,57,1991,8,1,2473 Lake Avenue,32.07,-82.91,12321.0,25122.0,43205.0,819.0,3
22,18,65,2002,1,1,970 Essex Drive,37.37,-122.21,106305.0,216740.0,0.0,700.0,2
23,76,66,1943,6,1,9186 Washington Avenue,41.47,-81.67,19524.0,41109.0,21486.0,698.0,2
24,70,64,1949,4,1,5073 Wessex Avenue,35.49,-90.35,14172.0,26858.0,11245.0,712.0,2
25,45,65,1975,1,1,195 Eighth Boulevard,42.39,-122.93,17131.0,34929.0,63849.0,714.0,1
26,36,63,1983,8,0,801 Mill Boulevard,33.44,-111.85,16829.0,34317.0,61826.0,610.0,3
27,40,66,1979,4,0,6914 Wessex Avenue,29.76,-95.38,15389.0,31377.0,59615.0,722.0,2
